username,text,thumbnail_title,thumbnail_url,tweet_url,created_at,retweets,likes,views
NatWest,Congratulations @Dunks_Scott on selection for your 3rd games following your amazing win in the 200m medley at the GB Swimming Championships! 🏊 🥇 #Olympics #Paris2024 #TeamGB https://t.co/vqIhu7SVnd,,,[],2024-04-16 13:26:28+00:00,1,6,4172
NatWest,We've partnered with @TeamGB to inspire you to take action towards your goals today #LetsGetGoing https://t.co/NIWvpkGPVH,,,[],2024-04-16 08:00:09+00:00,0,6,4117
NatWest,Congratulations to Helen Glover and her teammates for winning gold 🥇  in the women's four for Great Britain at the World Rowing Cup in Italy this weekend! https://t.co/RJbX5veoe3,,,[],2024-04-15 16:29:11+00:00,2,9,5158
NatWest,"Need a pick me up? Here’s a boost from the best, two-time Olympic champion #HelenGlover #NatWest #Ambassador #TeamGB https://t.co/FcOOc9sFVe",,,[],2024-03-07 14:58:09+00:00,2,6,8133
NatWest,Let’s get your plans off the blocks. We’re a proud partner of Team GB at the Paris 2024 Olympic Games. #TeamGB https://t.co/F0pk6iEazL,,,[],2024-03-04 15:43:08+00:00,2,2,6133
NatWest,"Whatever your goals, let’s get going. We’re a proud partner of Team GB at the Paris 2024 Olympic Games #EmilyCampbell #TeamGB https://t.co/EUDLlGJrqR",,,[],2024-02-29 15:37:11+00:00,3,2,5339
NatWest,Go for gold with your business plans. We’re a proud partner of Team GB at the Paris 2024 Olympic Games. https://t.co/lo0P6tBzlB #EmilyCampbell #TeamGB #Paris2024 https://t.co/wiphwKjTPV,,,"[{'display_url': 'natwest.com/business/busin…', 'expanded_url': 'https://www.natwest.com/business/business-services/entrepreneur-accelerator.html', 'url': 'https://t.co/lo0P6tBzlB', 'indices': [104, 127]}]",2024-02-28 15:50:09+00:00,2,2,4541
NatWest,"Small actions make a big difference. Whatever your goals, let’s get going. @Helenglovergb #NatWest #Ambassador https://t.co/t5KA10YrR4",,,[],2024-02-27 14:58:11+00:00,3,2,3973
NatWest,Let’s give your plans a flying start. We’re a proud partner of Team GB at the Paris 2024 Olympic Games.  #TeamGB #Paris2024 #HelenGlover https://t.co/OYcYxosZaB,,,[],2024-02-26 15:50:10+00:00,2,4,3930
NatWest,"Whatever your goals, let’s get going. We’re a proud partner of Team GB at the Paris 2024 Olympic Games. https://t.co/CZtg7If2qo https://t.co/mRqQoUzUkS",,,"[{'display_url': 'natwest.com/savings/tools-…', 'expanded_url': 'https://www.natwest.com/savings/tools-for-savings/savings-goal-tool.html', 'url': 'https://t.co/CZtg7If2qo', 'indices': [104, 127]}]",2024-02-23 14:58:09+00:00,2,1,3474
NatWest,"Championing the best of the best, @maxwhitlock1 Team GB’s most successful Olympic gymnast. #TeamGB https://t.co/NCMLuAm6zs",,,[],2024-02-22 15:41:21+00:00,0,5,3689
NatWest,"Ready. Set. Go go go Beth Shriever, Olympic champion. We’re a proud partner of Team GB at the Paris 2024 Olympic Games. https://t.co/ZBDSkrzkW9",,,[],2024-02-21 15:41:10+00:00,2,4,3640
NatWest,"Whatever your goals, let’s get going. We’re a proud partner of Team GB at the Paris 2024 Olympic Games. https://t.co/iNYaAxBQ4u",,,[],2024-02-20 16:17:09+00:00,1,4,2959
NatWest,We're proud to be the official banking partner to @TeamGB at the Paris 2024 Olympic Games. Tomorrow begins today. https://t.co/YtnaQvIlDs,,,[],2024-02-19 16:18:55+00:00,5,14,4840
NatWest,"Most major economies demonstrated resilience in 2023. With more normalised inflation and peaking interest rates, what are the investment opportunities in the year ahead? See what our experts think in our Investment Outlook 2024. Capital at risk. https://t.co/oGYcyg5yXc https://t.co/a07J8o2TeZ",,,"[{'display_url': 'natwest.com/investments/ou…', 'expanded_url': 'https://www.natwest.com/investments/our-insights/investment-outlook-2024.html', 'url': 'https://t.co/oGYcyg5yXc', 'indices': [246, 269]}]",2024-02-07 14:08:42+00:00,3,2,5240
NatWest,"Want to discover what's lurking in the mind of a fraudster? Our behavioural scientists talk tactics and how to best protect you and your employees.
https://t.co/UCxhazwxiL https://t.co/dz7CaPdlcQ",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/technology/fraud/inside-the-mind-of-a-fraudster.html', 'url': 'https://t.co/UCxhazwxiL', 'indices': [148, 171]}]",2024-01-30 11:22:02+00:00,5,4,6670
NatWest,"The US faces a number of challenges at the halfway point of 2023 – including a potential recession. 
How will it all pan out by the end of the year? Find out in our Mid-year Investment Outlook 2023. When investing, your capital is at risk.
Learn more here: https://t.co/HwleSsLNY2 https://t.co/s4grdPOspa",,,"[{'display_url': 'natwest.com/investments/ou…', 'expanded_url': 'https://www.natwest.com/investments/our-insights/mid-year-investment-outlook-2023.html?extcam=scm_twt_org', 'url': 'https://t.co/HwleSsLNY2', 'indices': [257, 280]}]",2023-07-19 08:00:02+00:00,8,7,45856
NatWest,"Markets have done pretty well so far this year in the face of some tough challenges. Can they keep it up? See what our experts have to say in our Mid-year Investment Outlook 2023. When investing, your capital is at risk.

Learn more here: https://t.co/3a8Dpenhrc https://t.co/5Q2AqTJMXN",,,"[{'display_url': 'natwest.com/investments/ou…', 'expanded_url': 'https://www.natwest.com/investments/our-insights/mid-year-investment-outlook-2023.html', 'url': 'https://t.co/3a8Dpenhrc', 'indices': [239, 262]}]",2023-07-17 13:00:58+00:00,3,2,24868
NatWest,"Pride is heading to Southend this weekend! 
Join us as we come together to celebrate inclusivity and champion a society where individuals can freely express themselves and where everyone can flourish. 🏳️‍🌈 https://t.co/DliGlY7nE2",,,[],2023-07-14 14:12:38+00:00,2,3,18094
NatWest,"We’re championing the power of Pride because we believe in a more inclusive society. 
Join us at Bristol Pride on Saturday as we celebrate our LGBT+ customers, colleagues and friends. 

#BristolPride #Pride 🏳️‍🌈 https://t.co/l9TJf7YL2v",,,[],2023-07-07 14:29:54+00:00,1,3,14383
NatWest,"We’re championing the power of Pride because we believe in a more inclusive society. Join us at Cardiff Pride this weekend as we celebrate and stand alongside our LGBT+ customers, colleagues, and friends. https://t.co/p7VHOJBbcQ",,,[],2023-06-29 15:41:17+00:00,0,2,14578
NatWest,"We’re championing the power of Pride because we believe in a more inclusive society. Join us at Cardiff Pride this weekend as we celebrate and stand alongside our LGBT+ customers, colleagues, and friends. https://t.co/tWMAh0Sw5D",,,[],2023-06-16 11:59:47+00:00,2,2,10721
NatWest,"What started as a protest sparked an unstoppable force for good.

#Pride 🏳️‍🌈 https://t.co/8vfPl0NF3E",,,[],2023-06-01 07:00:02+00:00,1,8,14737
NatWest,"Spread the word. NatWest Know Your Credit Score is free, no matter where you bank.  

Criteria applies. Data provided by TransUnion.",,,[],2023-05-22 07:00:00+00:00,1,3,13769
NatWest,"Check out what our CEO, Alison Rose, had to say about the role of the finance sector in looking after the world around us in the new #SaveOurWildIslesBusiness films.
 
https://t.co/z2ZOBkvJbp 
 
#SaveOurWildIsles #SaveOurWildIslesBusiness https://t.co/APkwwoibgB",,,"[{'display_url': 'saveourwildisles.org.uk/business/finan…', 'expanded_url': 'https://www.saveourwildisles.org.uk/business/finance', 'url': 'https://t.co/z2ZOBkvJbp', 'indices': [168, 191]}]",2023-05-11 07:30:02+00:00,1,5,11494
NatWest,Congratulations to King Charles III and Queen Camilla on their Coronation. 👑 https://t.co/px7qtYSuLt,,,[],2023-05-06 11:30:10+00:00,2,20,11881
NatWest,"Today is Earth Day. So, do your bit to look after our planet's tomorrow. 

Check out our carbon footprint tracker for an estimate of your carbon footprint and tips on reducing it. https://t.co/iUxbwAzFfx",,,[],2023-04-22 07:00:22+00:00,0,1,12289
NatWest,Easter weekend is here - bring on those eggs 🙌 https://t.co/K54wsUN0gs,,,[],2023-04-07 07:30:09+00:00,1,3,12815
NatWest,"If money worries are causing you stress, take the plunge and make time to look after yourself. 

Check out our cost of living page for helpful tips on how you could improve your mental health, even when money is on your mind. #CostOfLiving",,,[],2023-03-27 07:00:01+00:00,0,3,12545
NatWest,"Looking for new ways to save? Check out our cost of living page for inspiration on how to help cut everyday costs. 

#CostOfLiving",,,[],2023-03-25 16:00:00+00:00,1,1,8644
NatWest,"We’re seeing communities everywhere coming together to help each other when they need it most. 

@cookingchamps in Enfield, London, is just one inspiring example, offering cooking lessons and free hot meals to their local community. 

#CostOfLiving",,,[],2023-03-25 10:00:02+00:00,2,8,7551
NatWest,"Worried about how to stretch your monthly budget? We want to help.

Visit our cost of living page to find ideas on how to help save you money. #CostOfLiving",,,[],2023-03-24 16:00:01+00:00,1,2,6179
NatWest,What opportunities lie ahead in 2023?  See what our experts have to say in our Investment Outlook 2023.,,,[],2023-02-27 10:32:52+00:00,1,3,12256
NatWest,We're all looking for ways to save on energy. Check out this tip that could make your devices less thirsty for electricity. 🔌,,,[],2023-02-24 08:00:00+00:00,1,3,8694
NatWest,"Insulating your loft like some of the families in the Greener Homes Retrofit Project could help you save energy, reduce your bills &amp; stay cosy. Follow @ouronehome for tips on how to #KeepTheHeat this winter. 

Watch this space for updates on the difference new insulation makes.",,,[],2023-02-23 17:00:00+00:00,2,7,7548
NatWest,You could save energy like those taking part in the Greener Homes Retrofit Project with our easy home hacks.,,,[],2023-02-22 12:30:00+00:00,1,4,6422
NatWest,"Insulating your loft like some of the families in the Greener Homes Retrofit Project could help you save energy, reduce your bills &amp; stay cosy. Follow @ouronehome for tips on how to #KeepTheHeat this winter. 

Watch this space for updates on the difference new insulation makes.",,,[],2023-02-21 00:00:00+00:00,3,8,7403
NatWest,"This week, we're giving you some energy-saving home hacks. And we'll have news on the Greener Homes Retrofit Project soon.

Learn more about saving energy at home 👇",,,[],2023-02-20 08:00:03+00:00,2,5,6994
NatWest,"Devastating earthquakes have hit Turkey &amp; Syria killing thousands of people &amp; destroying buildings. Donate to @decappeal through the link below &amp; we'll match what you give up to a total of £100k between now &amp; 30th June 2023, or until the £100K has been used #TurkeySyriaEarthquake",,,[],2023-02-09 15:02:16+00:00,5,4,7928
NatWest,Happy New Year! We hope you’ve had a chance to chill over the Christmas break and get yourself ready for 2023. We hope it’s your best year yet. https://t.co/woVwDMakpf,,,[],2023-01-01 09:00:23+00:00,1,11,15698
NatWest,"Cooking up a storm or working through? Celebrating or having a cosy Sunday in? Whatever Christmas looks like for you, we hope you get time to relax over the festive period. https://t.co/M8HZzi1NAT",,,[],2022-12-24 09:00:26+00:00,0,5,10617
NatWest,"Too good to be true offers online? Get a head start with our festive fraud advice to shop safely and avoid fakes.

Shop safely with our festive fraud tips. 👇 #TakeFive",,,[],2022-12-12 08:00:01+00:00,1,5,
NatWest,"Promise of a discount if you send cash? It could be a sign of an online scam. 

Shop safely with our festive fraud tips. 👇",,,[],2022-11-28 08:00:01+00:00,1,5,
NatWest,"Watch out for social media ads selling luxury products at unbelievable prices. They’re unbelievable for a reason – because they’re usually scams. 

Never pay for items by bank transfer. Always use a debit or credit card, or a trusted service like PayPal.  

#TakeFive",,,[],2022-11-25 11:00:01+00:00,0,1,
NatWest,"Too good to be true offers? Discounts for cash payments? Watch out for signs of scams with our tips to shop the sales safely. 

#TakeFive",,,[],2022-11-21 08:00:00+00:00,1,2,
NatWest,"We’re chuffed to welcome @BBCCiN as a MyRewards charity partner. You can get involved by donating your Rewards to BBC Children in Need if you have a Reward account. To donate Rewards, you need to have a balance equivalent of £5 or more. Tap to donate 👇",,,[],2022-11-18 13:10:18+00:00,1,4,
